image	class_dir	class_name	imagenet_id
img88	n03028079	church	498
img89	n03028079	church	498
img90	n03028079	church	498
img91	n03028079	church	498
img92	n03028079	church	498
img93	n03028079	church	498
img94	n03028079	church	498
img95	n03028079	church	498
img96	n03028079	church	498
img97	n03028079	church	498
img98	n03028079	church	498
img99	n03028079	church	498
img100	n03028079	church	498
img101	n03394916	French horn	567
img102	n03394916	French horn	567
img103	n03394916	French horn	567
img104	n03394916	French horn	567
img105	n03394916	French horn	567
img106	n03394916	French horn	567
img107	n03394916	French horn	567
img108	n03394916	French horn	567
img109	n03394916	French horn	567
img110	n03394916	French horn	567
img111	n03394916	French horn	567
img112	n03394916	French horn	567
img113	n03394916	French horn	567
img114	n03394916	French horn	567
img115	n03394916	French horn	567
img116	n03394916	French horn	567
img117	n03394916	French horn	567
img118	n03394916	French horn	567
img119	n03394916	French horn	567
img120	n03394916	French horn	567
img121	n03417042	garbage truck	570
img122	n03417042	garbage truck	570
img123	n03417042	garbage truck	570
img124	n03417042	garbage truck	570
img125	n03417042	garbage truck	570
img126	n03417042	garbage truck	570
img127	n03417042	garbage truck	570
img128	n03417042	garbage truck	570
img129	n03417042	garbage truck	570
img130	n03417042	garbage truck	570
img131	n03417042	garbage truck	570
img132	n03417042	garbage truck	570
img133	n03417042	garbage truck	570
img134	n03417042	garbage truck	570
img135	n03417042	garbage truck	570
img136	n03417042	garbage truck	570
img137	n03417042	garbage truck	570
img138	n03417042	garbage truck	570
img139	n03417042	garbage truck	570
img140	n03417042	garbage truck	570
img141	n03425413	gas pump	572
img142	n03425413	gas pump	572
img143	n03425413	gas pump	572
img144	n03425413	gas pump	572
img145	n03425413	gas pump	572
img146	n03425413	gas pump	572
img147	n03425413	gas pump	572
img148	n03425413	gas pump	572
img149	n03425413	gas pump	572
img150	n03425413	gas pump	572
img151	n03425413	gas pump	572
img152	n03425413	gas pump	572
img153	n03425413	gas pump	572
img154	n03425413	gas pump	572
img155	n03425413	gas pump	572
img156	n03425413	gas pump	572
img157	n03425413	gas pump	572
img158	n03425413	gas pump	572
img159	n03425413	gas pump	572
img160	n03425413	gas pump	572
img161	n03445777	golf ball	575
img162	n03445777	golf ball	575
img163	n03445777	golf ball	575
img164	n03445777	golf ball	575
img165	n03445777	golf ball	575
img166	n03445777	golf ball	575
img167	n03445777	golf ball	575
img168	n03445777	golf ball	575
img169	n03445777	golf ball	575
img170	n03445777	golf ball	575
img171	n03445777	golf ball	575
img172	n03445777	golf ball	575
img173	n03445777	golf ball	575
img174	n03445777	golf ball	575
img175	n03445777	golf ball	575
img176	n03445777	golf ball	575
img177	n03445777	golf ball	575
img178	n03445777	golf ball	575
img179	n03445777	golf ball	575
img180	n03445777	golf ball	575
img181	n03888257	parachute	702
img182	n03888257	parachute	702
img183	n03888257	parachute	702
img184	n03888257	parachute	702
img185	n03888257	parachute	702
img186	n03888257	parachute	702
img187	n03888257	parachute	702
img188	n03888257	parachute	702
img189	n03888257	parachute	702
img190	n03888257	parachute	702
img191	n03888257	parachute	702
img192	n03888257	parachute	702
img193	n03888257	parachute	702
img194	n03888257	parachute	702
img195	n03888257	parachute	702
img196	n03888257	parachute	702
img197	n03888257	parachute	702
img198	n03888257	parachute	702
img199	n03888257	parachute	702
img200	n03888257	parachute	702
